date,add_lines,del_lines
2014-01-01,,
2014-02-01,,
2014-03-01,,
2014-04-01,,
2014-05-01,,
2014-06-01,,
2014-07-01,,
2014-08-01,,
2014-09-01,,
2014-10-01,,
2014-11-01,,
2014-12-01,,
2015-01-01,,
2015-02-01,,
2015-03-01,,
2015-04-01,,
2015-05-01,,
2015-06-01,,
2015-07-01,,
2015-08-01,,
2015-09-01,,
2015-10-01,,
2015-11-01,,
2015-12-01,,
2016-01-01,,
2016-02-01,,
2016-03-01,,
2016-04-01,,
2016-05-01,,
2016-06-01,,
2016-07-01,,
2016-08-01,,
2016-09-01,,
2016-10-01,,
2016-11-01,,
2016-12-01,,
2017-01-01,,
2017-02-01,,
2017-03-01,,
2017-04-01,,
2017-05-01,,
2017-06-01,,
2017-07-01,,
2017-08-01,,
2017-09-01,,
2017-10-01,,
2017-11-01,,
2017-12-01,,
2018-01-01,,
2018-02-01,,
2018-03-01,,
2018-04-01,,
2018-05-01,,
2018-06-01,,
2018-07-01,,
2018-08-01,,
2018-09-01,,
2018-10-01,,
2018-11-01,,
2018-12-01,,
2019-01-01,,
2019-02-01,,
2019-03-01,,
2019-04-01,,
2019-05-01,,
2019-06-01,,
2019-07-01,,
2019-08-01,,
2019-09-01,,
2019-10-01,,
2019-11-01,,
2019-12-01,,
2020-01-01,,
2020-02-01,8009,5170
2020-03-01,20,13
2020-04-01,,
2020-05-01,,
2020-06-01,,
2020-07-01,,
2020-08-01,,
2020-09-01,,
2020-10-01,,
2020-11-01,115,32
2020-12-01,648,117
2021-01-01,1,1
2021-02-01,1199,229
2021-03-01,42,50
2021-04-01,,
2021-05-01,33,28
2021-06-01,190,24
2021-07-01,3,1
2021-08-01,21,11
2021-09-01,,
2021-10-01,665,123
2021-11-01,3,3
2021-12-01,61,36
2022-01-01,,
2022-02-01,2,1
2022-03-01,,
2022-04-01,33,5
2022-05-01,370,167
2022-06-01,11,4
2022-07-01,5,5
2022-08-01,7,10
2022-09-01,4,4
2022-10-01,539,114
2022-11-01,,
2022-12-01,,
2023-01-01,,
2023-02-01,16,20
2023-03-01,357,38
2023-04-01,3,3
2023-05-01,,
2023-06-01,4,4
2023-07-01,,
2023-08-01,60,8
2023-09-01,48,1
2023-10-01,27,21
2023-11-01,,
2023-12-01,2,1
2024-01-01,1943,867
2024-02-01,76,22
2024-03-01,6912,185
2024-04-01,207,12
2024-05-01,,
